"POL_NBR","INSRD_NAME","INSRD_ADDR_1","INSRD_CITY","INSRD_ST","INSRD_ZIP","EFF_DT","EXP_DT","ASL","CLASS_CD","WRT_PREM","ERN_PREM","POL_TYPE","CLAIM_NBR","ACC_DT","RPT_DT","CLM_STATUS","LOSS_TYPE","PD_INDEM","CASE_RSV","PD_ALAE","TOTAL_ALAE","RECOVERY_AMT"
"PLB010025","Karen Brown","7183 Elm Dr","Boston","KS",2232,"2023-10-01","2024-09-30",17.1,62003,47308,"NULL","MONO","B-CLM-005025","2023-10-13","2023-11-08","CLSD","STRUCTURAL COLLAPSE",1100.0,0.0,0.0,469.0,NULL
"PLB010026","Karen Anderson","798 Cedar Ln","Dallas","MI",77402,"20220413","20230413",18.1,45190,14978,"NULL","MONO","B-CLM-005026","2022-11-12","2022-11-22","OPEN","DOG BITE",0.0,0.0,0.0,0.0,NULL
"PLB010027","Robert Rodriguez","5063 1st Ave","Austin","IL",66792,"06/10/2023","06/09/2024",17.2,91341,13856,"NULL","PKG","NULL","NULL","NULL","NULL","NULL",NULL,NULL,NULL,NULL,NULL
"PLB010028","Jessica Hernandez","3893 Pine Rd","Austin","HI",26610,"08-26-2023","08-25-2024",18.2,95625,15930,"NULL","PKG","NULL","NULL","NULL","NULL","NULL",NULL,NULL,NULL,NULL,NULL
"PLB010029","Joseph Gonzalez","2282 Washington St","Denver","MS",33477,"20220316","20230316",18.1,41650,36000,"NULL","MONO","NULL","NULL","NULL","NULL","NULL",NULL,NULL,NULL,NULL,NULL
"PLB010030","Robert Williams","7290 1st Ave","Boston","CO",61912,"2023-03-21","2024-03-20",17.1,64074,13276,"NULL","PKG","B-CLM-005030","2023-05-31","2023-06-24","REOP","STRUCTURAL COLLAPSE",12365.0,3260.0,0.0,1099.0,NULL
"PLB010031","Michael Moore","5500 Main St","Dallas","AK",71990,"09-08-2023","09-07-2024",17.1,45190,28509,"NULL","MONO","B-CLM-005031","2023-11-27","2023-12-02","OPEN","PROPERTY DAMAGE",27517.0,449.0,753.0,753.0,623.0
"PLB010032","Richard Jones","7140 1st Ave","Denver","LA",21719,"2023-05-06","2024-05-05",18.1,46202,14128,"NULL","PKG","B-CLM-005032","2023-11-01","2023-12-02","CLSD","FOOD CONTAMINATION",10451.0,405.0,0.0,306.0,NULL
"PLB010033","Sarah Jackson","850 Main St","Boston","AK",30102,"2022-09-01","2023-09-01",17.1,51350,10464,"NULL","MONO","NULL","NULL","NULL","NULL","NULL",NULL,NULL,NULL,NULL,NULL
"PLB010034","John Rodriguez","9007 Pine Rd","Seattle","HI",53745,"2022-12-25","2023-12-25",18.1,91340,2056,"NULL","PKG","NULL","NULL","NULL","NULL","NULL",NULL,NULL,NULL,NULL,NULL
"PLB010035","Karen Thomas","4683 Oak Ave","Dallas","DE",28348,"06-24-2023","06-23-2024",18.1,15102,19698,"NULL","MONO","NULL","NULL","NULL","NULL","NULL",NULL,NULL,NULL,NULL,NULL
"PLB010036","Mary Rodriguez","4654 Washington St","Seattle","CA",91049,"2022-02-06","2023-02-06",18.2,47050,14944,"NULL","PKG","NULL","NULL","NULL","NULL","NULL",NULL,NULL,NULL,NULL,NULL
"PLB010037","Sarah Lopez","525 Washington St","Portland","NULL",NULL,"20230127","20240127",18.2,18200,2352,"NULL","MONO","NULL","NULL","NULL","NULL","NULL",NULL,NULL,NULL,NULL,NULL
"PLB010038","Elizabeth Moore","7694 1st Ave","Denver","HI",98426,"20240114","20250113",18.2,52000,150631,"NULL","MONO","NULL","NULL","NULL","NULL","NULL",NULL,NULL,NULL,NULL,NULL
"PLB010039","David Rodriguez","302 Oak Ave","Portland","AL",95427,"10-15-2022","10-15-2023",17.1,52000,2803,"NULL","MONO","NULL","NULL","NULL","NULL","NULL",NULL,NULL,NULL,NULL,NULL
"PLB010040","John Rodriguez","9134 Cedar Ln","Austin","IA",72444,"02-07-2022","02-07-2023",18.2,60010,16201,"NULL","MONO","NULL","NULL","NULL","NULL","NULL",NULL,NULL,NULL,NULL,NULL
"PLB010041","Patricia Taylor","1368 Pine Rd","Dallas","CO",59561,"05/31/2022","05/31/2023",17.2,97047,154840,"NULL","PKG","B-CLM-005041","2022-09-24","2022-11-09","REOP","FIRE DAMAGE",21089.0,0.0,0.0,0.0,NULL
"PLB010042","Patricia Martin","3564 Cedar Ln","Denver","HI",89536,"09-14-2023","09-13-2024",18.1,91580,5355,"NULL","MONO","NULL","NULL","NULL","NULL","NULL",NULL,NULL,NULL,NULL,NULL
"PLB010043","John Lopez","9282 Park Pl","Austin","CA",97937,"01/26/2023","01/26/2024",17.1,49100,24160,"NULL","MONO","B-CLM-005043","2023-10-23","2023-12-01","CLSD","PERSONAL INJURY",3218.0,0.0,3135.0,4903.0,NULL
"PLB010044","William Hernandez","2032 Oak Ave","Seattle","CA",98297,"2023-07-05","2024-07-04",18.2,95648,25905,"NULL","MONO","NULL","NULL","NULL","NULL","NULL",NULL,NULL,NULL,NULL,NULL
"PLB010045","Patricia Jones","658 1st Ave","Austin","IA",21288,"2022-01-16","2023-01-16",17.1,47050,3737,"NULL","PKG","NULL","NULL","NULL","NULL","NULL",NULL,NULL,NULL,NULL,NULL
"PLB010046","Mary Williams","5915 2nd St","Seattle","IL",66472,"2023-12-15","2024-12-14",18.1,13333,71302,"NULL","MONO","NULL","NULL","NULL","NULL","NULL",NULL,NULL,NULL,NULL,NULL
"PLB010047","Patricia Davis","4971 2nd St","Portland","AL",9889,"08-31-2023","08-30-2024",18.2,62003,5018,"NULL","PKG","NULL","NULL","NULL","NULL","NULL",NULL,NULL,NULL,NULL,NULL
"PLB010048","Barbara Martinez","2813 Oak Ave","Portland","IL",67732,"2022-11-23","2023-11-23",17.2,41650,6538,"NULL","PKG","NULL","NULL","NULL","NULL","NULL",NULL,NULL,NULL,NULL,NULL
"PLB010049","James Martin","751 Park Pl","Denver","MO",30705,"2022-04-19","2023-04-19",18.1,15102,2953,"NULL","PKG","NULL","NULL","NULL","NULL","NULL",NULL,NULL,NULL,NULL,NULL
"PLB010050","Patricia Anderson","7182 2nd St","Portland","ME",12415,"20230313","20240312",17.2,10060,23089,"NULL","MONO","NULL","NULL","NULL","NULL","NULL",NULL,NULL,NULL,NULL,NULL
"PLB010051","Jessica Martinez","2259 Pine Rd","Boston","HI",18306,"06-10-2022","06-10-2023",18.1,10050,5473,"NULL","PKG","B-CLM-005051","2023-05-28","2023-07-25","OPEN","ASSAULT/BATTERY",154.0,666.0,1644.0,1644.0,NULL
"PLB010052","Thomas Garcia","5016 Pine Rd","Portland","CO",77695,"20220209","20230209",18.1,66561,16079,"NULL","PKG","NULL","NULL","NULL","NULL","NULL",NULL,NULL,NULL,NULL,NULL
"PLB010053","Susan Johnson","9312 Cedar Ln","Portland","DE",56676,"04-26-2022","04-26-2023",18.2,48800,38241,"NULL","PKG","B-CLM-005053","2022-12-19","2023-01-31","OPEN","STRUCTURAL COLLAPSE",2207.0,6846.0,0.0,0.0,NULL
"PLB010054","Mary Taylor","3548 Cedar Ln","Denver","MS",32863,"08-13-2022","08-13-2023",17.1,41650,3930,"NULL","MONO","B-CLM-005054","2022-11-26","2023-01-05","REOP","LIABILITY - BODILY INJURY",0.0,723.0,0.0,0.0,NULL
"PLB010055","Linda Davis","653 Maple Blvd","Boston","CT",16624,"2023-07-21","2024-07-20",17.1,10060,5209,"NULL","MONO","NULL","NULL","NULL","NULL","NULL",NULL,NULL,NULL,NULL,NULL
"PLB010056","Michael Martin","5214 Cedar Ln","Seattle","MS",80447,"20231222","20241221",17.1,14279,10676,"NULL","MONO","NULL","NULL","NULL","NULL","NULL",NULL,NULL,NULL,NULL,NULL
"PLB010057","Jessica Martinez","8836 Park Pl","Dallas","MA",60765,"20230814","20240813",18.2,66561,4850,"NULL","MONO","NULL","NULL","NULL","NULL","NULL",NULL,NULL,NULL,NULL,NULL
"PLB010058","Robert Williams","1662 Park Pl","Dallas","ME",37931,"20220126","20230126",17.2,11126,6467,"NULL","PKG","NULL","NULL","NULL","NULL","NULL",NULL,NULL,NULL,NULL,NULL
"PLB010059","Robert Johnson","5366 Washington St","Denver","KS",60438,"2023-06-20","2024-06-19",17.1,60010,17985,"NULL","PKG","NULL","NULL","NULL","NULL","NULL",NULL,NULL,NULL,NULL,NULL
"PLB010060","John Brown","7074 Oak Ave","Seattle","MA",20281,"08-30-2022","08-30-2023",18.2,12393,21148,"NULL","MONO","NULL","NULL","NULL","NULL","NULL",NULL,NULL,NULL,NULL,NULL
"PLB010061","Elizabeth Brown","7234 Maple Blvd","Boston","AR",48595,"20220209","20230209",18.2,91341,7232,"NULL","MONO","NULL","NULL","NULL","NULL","NULL",NULL,NULL,NULL,NULL,NULL
"PLB010062","Robert Garcia","8691 2nd St","Austin","KY",56227,"2023-12-03","2024-12-02",18.1,10050,8585,"NULL","MONO","NULL","NULL","NULL","NULL","NULL",NULL,NULL,NULL,NULL,NULL
"PLB010063","John Jackson","2597 Oak Ave","Boston","CT",34249,"07/24/2022","07/24/2023",18.2,10070,5424,"NULL","MONO","B-CLM-005063","2023-01-19","2023-02-11","REOP","PRODUCTS LIABILITY",117.0,4077.0,878.0,878.0,NULL
"PLB010064","Sarah Gonzalez","6281 1st Ave","Boston","MO",75485,"01-28-2023","01-28-2024",18.1,64074,139706,"NULL","MONO","B-CLM-005064","2023-05-26","2023-06-01","OPEN","PRODUCTS LIABILITY",0.0,11801.0,0.0,0.0,NULL
"PLB010065","Patricia Moore","7233 Cedar Ln","Dallas","CO",5756,"10-11-2023","10-10-2024",17.2,15102,45461,"NULL","MONO","NULL","NULL","NULL","NULL","NULL",NULL,NULL,NULL,NULL,NULL
"PLB010066","Patricia Lopez","4257 Park Pl","Austin","CO",94047,"02/05/2024","02/04/2025",17.2,48800,0,"NULL","MONO","NULL","NULL","NULL","NULL","NULL",NULL,NULL,NULL,NULL,NULL
"PLB010067","Patricia Johnson","6154 Main St","Denver","MN",22216,"09-17-2022","09-17-2023",17.1,11000,7777,"NULL","MONO","NULL","NULL","NULL","NULL","NULL",NULL,NULL,NULL,NULL,NULL
"PLB010068","James Hernandez","5285 Elm Dr","Denver","MN",58066,"03-05-2022","03-05-2023",17.1,10040,24457,"NULL","MONO","NULL","NULL","NULL","NULL","NULL",NULL,NULL,NULL,NULL,NULL
"PLB010069","Jennifer Smith","3663 Cedar Ln","Seattle","MO",13432,"2023-05-29","2024-05-28",18.1,41668,1530,"NULL","MONO","B-CLM-005069","2024-02-11","2024-02-23","REOP","SLIP/TRIP AND FALL",3557.0,11112.0,0.0,0.0,NULL
"PLB010070","Susan Lopez","4829 Pine Rd","Portland","FL",38418,"05-24-2022","05-24-2023",18.2,15102,3817,"NULL","PKG","B-CLM-005070","2022-10-22","2022-12-06","OPEN","ASSAULT/BATTERY",0.0,4068.0,868.0,1649.0,NULL
"PLB010071","Charles Johnson","5381 Oak Ave","Boston","AR",50267,"2023-06-14","2024-06-13",18.2,44000,1160,"NULL","PKG","NULL","NULL","NULL","NULL","NULL",NULL,NULL,NULL,NULL,NULL
"PLB010072","Karen Anderson","9825 Washington St","Boston","AR",66734,"07-11-2022","07-11-2023",18.1,46202,1541,"NULL","PKG","NULL","NULL","NULL","NULL","NULL",NULL,NULL,NULL,NULL,NULL
"PLB010073","Richard Jackson","567 Elm Dr","Denver","IL",64983,"11/04/2022","11/04/2023",17.2,91341,8323,"NULL","MONO","NULL","NULL","NULL","NULL","NULL",NULL,NULL,NULL,NULL,NULL
"PLB010074","Jennifer Anderson","113 Elm Dr","Dallas","HI",24412,"03/18/2024","03/18/2025",17.1,17000,1318,"NULL","MONO","NULL","NULL","NULL","NULL","NULL",NULL,NULL,NULL,NULL,NULL
"PLB010075","Jessica Jackson","540 Pine Rd","Denver","MS",23555,"2022-09-08","2023-09-08",18.1,62003,1116,"NULL","MONO","B-CLM-005075","2023-05-07","2023-06-30","OPEN","PERSONAL INJURY",6302.0,0.0,2179.0,2179.0,NULL
"PLB010076","Patricia Gonzalez","300 Elm Dr","Portland","AZ",29867,"2023-10-24","2024-10-23",17.2,10005,8102,"NULL","PKG","B-CLM-005076","2024-05-07","2024-06-04","OPEN","PERSONAL INJURY",0.0,22935.0,0.0,2584.0,NULL
"PLB010077","Joseph Taylor","6208 2nd St","Boston","IN",58512,"02/29/2024","02/28/2025",18.1,50100,4236,"NULL","PKG","NULL","NULL","NULL","NULL","NULL",NULL,NULL,NULL,NULL,NULL
"PLB010078","Susan Johnson","7714 Maple Blvd","Austin","AZ",17750,"06/03/2022","06/03/2023",18.1,91581,2662,"NULL","PKG","NULL","NULL","NULL","NULL","NULL",NULL,NULL,NULL,NULL,NULL
"PLB010079","Joseph Martin","4099 Park Pl","Denver","HI",70155,"11-23-2023","11-22-2024",17.1,10015,9101,"NULL","MONO","B-CLM-005079","2024-05-07","2024-06-17","CLSD","PERSONAL INJURY",2036.0,1471.0,0.0,1511.0,NULL
"PLB010080","John Wilson","2007 Pine Rd","Denver","AR",44988,"01/27/2023","01/27/2024",18.1,17000,6790,"NULL","MONO","NULL","NULL","NULL","NULL","NULL",NULL,NULL,NULL,NULL,NULL
"PLB010081","Karen Gonzalez","3069 Maple Blvd","Portland","KS",6306,"20220809","20230809",18.1,11039,97099,"NULL","PKG","NULL","NULL","NULL","NULL","NULL",NULL,NULL,NULL,NULL,NULL
"PLB010082","Joseph Jackson","6993 Washington St","Portland","MD",86780,"03-20-2024","03-20-2025",17.1,44000,5336,"NULL","PKG","NULL","NULL","NULL","NULL","NULL",NULL,NULL,NULL,NULL,NULL
"PLB010083","Mary Jackson","1387 2nd St","Denver","IA",51385,"20220605","20230605",18.2,41668,958,"NULL","PKG","NULL","NULL","NULL","NULL","NULL",NULL,NULL,NULL,NULL,NULL
"PLB010084","Susan Smith","4751 Park Pl","Boston","IA",73682,"20231122","20241121",17.1,47050,1276,"NULL","MONO","NULL","NULL","NULL","NULL","NULL",NULL,NULL,NULL,NULL,NULL
"PLB010085","Richard Moore","6793 Cedar Ln","Dallas","CT",69455,"08/05/2022","08/05/2023",18.1,95648,3455,"NULL","MONO","NULL","NULL","NULL","NULL","NULL",NULL,NULL,NULL,NULL,NULL
"PLB010086","Joseph Garcia","3010 1st Ave","Portland","MI",8572,"10-11-2023","10-10-2024",18.2,10070,2897,"NULL","PKG","NULL","NULL","NULL","NULL","NULL",NULL,NULL,NULL,NULL,NULL
"PLB010087","John Martin","9448 1st Ave","Austin","IN",59329,"20230305","20240304",17.2,95648,18002,"NULL","PKG","NULL","NULL","NULL","NULL","NULL",NULL,NULL,NULL,NULL,NULL
"PLB010088","Jennifer Thomas","3373 Cedar Ln","Dallas","ID",41039,"20220124","20230124",17.2,52000,20570,"NULL","PKG","NULL","NULL","NULL","NULL","NULL",NULL,NULL,NULL,NULL,NULL
"PLB010089","William Garcia","4111 2nd St","Boston","MD",10068,"2023-03-31","2024-03-30",17.2,58010,66822,"NULL","PKG","NULL","NULL","NULL","NULL","NULL",NULL,NULL,NULL,NULL,NULL
"PLB010090","Mary Lopez","6644 Park Pl","Boston","IN",76112,"09/24/2022","09/24/2023",17.1,18200,3656,"NULL","MONO","NULL","NULL","NULL","NULL","NULL",NULL,NULL,NULL,NULL,NULL
"PLB010091","Thomas Martinez","525 Pine Rd","Portland","ID",95442,"02-27-2023","02-27-2024",17.2,91341,3960,"NULL","PKG","B-CLM-005091","2024-02-25","2024-04-14","OPEN","PROPERTY DAMAGE",809.0,2510.0,0.0,0.0,NULL
"PLB010092","Thomas Hernandez","8674 Cedar Ln","Seattle","GA",32872,"2022-06-08","2023-06-08",17.2,58010,44414,"NULL","PKG","B-CLM-005092","2022-09-24","2022-10-04","OPEN","LIABILITY - PROPERTY DAMAGE",0.0,1580.0,0.0,0.0,NULL
"PLB010093","Michael Lopez","8272 2nd St","Denver","HI",8335,"08-19-2022","08-19-2023",17.2,10015,3457,"NULL","PKG","NULL","NULL","NULL","NULL","NULL",NULL,NULL,NULL,NULL,NULL
"PLB010094","Mary Anderson","9384 Park Pl","Dallas","HI",34233,"06/04/2023","06/03/2024",18.1,52000,10461,"NULL","MONO","NULL","NULL","NULL","NULL","NULL",NULL,NULL,NULL,NULL,NULL
"PLB010095","Michael Brown","8986 Washington St","Dallas","NULL",NULL,"09-16-2023","09-15-2024",18.1,91581,2630,"NULL","PKG","B-CLM-005095","2023-11-22","2023-11-26","OPEN","FIRE DAMAGE",0.0,4404.0,2228.0,2912.0,NULL
"PLB010096","Joseph Smith","4224 1st Ave","Denver","NULL",NULL,"03/17/2023","03/16/2024",18.2,19007,17471,"NULL","PKG","NULL","NULL","NULL","NULL","NULL",NULL,NULL,NULL,NULL,NULL
"PLB010097","Elizabeth Brown","7361 Cedar Ln","Boston","HI",82313,"20230604","20240603",18.1,15102,34116,"NULL","PKG","B-CLM-005097","2023-10-22","2023-12-02","CLSD","DOG BITE",0.0,23480.0,0.0,0.0,NULL
"PLB010098","Michael Gonzalez","2914 Elm Dr","Denver","KY",25879,"04/29/2023","04/28/2024",18.1,49100,27104,"NULL","PKG","NULL","NULL","NULL","NULL","NULL",NULL,NULL,NULL,NULL,NULL
"PLB010099","Joseph Martinez","7068 Washington St","Seattle","FL",30606,"04-29-2023","04-28-2024",18.1,45190,2469,"NULL","MONO","NULL","NULL","NULL","NULL","NULL",NULL,NULL,NULL,NULL,NULL
"PLB010100","William Wilson","6365 Cedar Ln","Denver","MO",83398,"10/08/2022","10/08/2023",17.2,51350,818,"NULL","PKG","NULL","NULL","NULL","NULL","NULL",NULL,NULL,NULL,NULL,NULL
"PLB010101","Richard Thomas","4193 Maple Blvd","Denver","DE",96010,"06-14-2022","06-14-2023",18.2,95648,91021,"NULL","PKG","NULL","NULL","NULL","NULL","NULL",NULL,NULL,NULL,NULL,NULL
"PLB010102","Susan Jones","2564 Washington St","Portland","ID",93817,"03-25-2023","03-24-2024",17.1,17000,4784,"NULL","PKG","NULL","NULL","NULL","NULL","NULL",NULL,NULL,NULL,NULL,NULL
"PLB010103","William Lopez","7404 Pine Rd","Dallas","MO",57375,"11-08-2023","11-07-2024",18.1,44000,13252,"NULL","MONO","NULL","NULL","NULL","NULL","NULL",NULL,NULL,NULL,NULL,NULL
"PLB010104","Mary Taylor","1087 Park Pl","Portland","MN",9608,"09-23-2022","09-23-2023",17.1,43891,861,"NULL","PKG","NULL","NULL","NULL","NULL","NULL",NULL,NULL,NULL,NULL,NULL
"PLB010105","John Jackson","7775 Washington St","Boston","HI",31647,"10/12/2023","10/11/2024",17.1,51350,30836,"NULL","MONO","NULL","NULL","NULL","NULL","NULL",NULL,NULL,NULL,NULL,NULL
"PLB010106","James Gonzalez","9516 Maple Blvd","Austin","AZ",96003,"07-06-2022","07-06-2023",18.2,43891,9908,"NULL","PKG","NULL","NULL","NULL","NULL","NULL",NULL,NULL,NULL,NULL,NULL
"PLB010107","Charles Jones","3194 Elm Dr","Dallas","DE",42108,"08-22-2023","08-21-2024",18.2,91581,12437,"NULL","MONO","NULL","NULL","NULL","NULL","NULL",NULL,NULL,NULL,NULL,NULL
"PLB010108","Linda Miller","5921 Main St","Dallas","LA",71607,"12/23/2022","12/23/2023",18.1,15102,12605,"NULL","PKG","NULL","NULL","NULL","NULL","NULL",NULL,NULL,NULL,NULL,NULL
"PLB010109","Thomas Lopez","7931 Maple Blvd","Denver","NULL",NULL,"20230326","20240325",17.2,11000,2808,"NULL","PKG","B-CLM-005109","2023-06-23","2023-07-04","OPEN","FOOD CONTAMINATION",0.0,8759.0,0.0,0.0,NULL
"PLB010110","Elizabeth Davis","1483 1st Ave","Seattle","IN",4502,"02/14/2023","02/14/2024",18.1,17000,5160,"NULL","MONO","NULL","NULL","NULL","NULL","NULL",NULL,NULL,NULL,NULL,NULL
"PLB010111","Elizabeth Lopez","6897 Elm Dr","Seattle","CA",92822,"2023-06-16","2024-06-15",17.2,46202,50520,"NULL","MONO","NULL","NULL","NULL","NULL","NULL",NULL,NULL,NULL,NULL,NULL
"PLB010112","James Smith","5532 Main St","Seattle","AL",2608,"2023-05-25","2024-05-24",18.1,47050,5751,"NULL","MONO","NULL","NULL","NULL","NULL","NULL",NULL,NULL,NULL,NULL,NULL
"PLB010113","Susan Moore","7315 Elm Dr","Denver","AL",4774,"2022-12-24","2023-12-24",17.1,11039,6692,"NULL","PKG","NULL","NULL","NULL","NULL","NULL",NULL,NULL,NULL,NULL,NULL
"PLB010114","Linda Davis","4206 Elm Dr","Boston","ID",45798,"09/21/2023","09/20/2024",18.2,64074,7368,"NULL","PKG","B-CLM-005114","2024-06-10","2024-08-01","REOP","LIABILITY - BODILY INJURY",0.0,0.0,0.0,0.0,NULL
"PLB010115","Jennifer Smith","2442 Main St","Dallas","IN",26509,"2023-01-19","2024-01-19",17.1,58010,128227,"NULL","PKG","NULL","NULL","NULL","NULL","NULL",NULL,NULL,NULL,NULL,NULL
"PLB010116","David Taylor","5627 Cedar Ln","Dallas","CT",45787,"20231006","20241005",18.2,10070,60446,"NULL","PKG","NULL","NULL","NULL","NULL","NULL",NULL,NULL,NULL,NULL,NULL
"PLB010117","Thomas Taylor","869 Park Pl","Portland","FL",33825,"03-06-2022","03-06-2023",18.2,12393,2756,"NULL","MONO","B-CLM-005117","2022-12-12","2022-12-21","OPEN","LIABILITY - PROPERTY DAMAGE",3042.0,9177.0,0.0,664.0,NULL
"PLB010118","Elizabeth Gonzalez","8648 1st Ave","Seattle","MD",75240,"2022-08-20","2023-08-20",18.2,10050,24523,"NULL","PKG","NULL","NULL","NULL","NULL","NULL",NULL,NULL,NULL,NULL,NULL
